testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
dynamic4resimult6cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,hmmer,1.1879,160,336.728680865
dynamic4resimult6cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,mcf,1.6518,160,242.160067805
dynamic4resimult6cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,sjeng,1.6798,160,238.123586141
dynamic4resimult6cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,milc,1.3700,160,291.97080292
dynamic4resimult6cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,equake,1.5376,160,260.145681582
dynamic8resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,bzip2,1.0631,195,458.564575299
dynamic8resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,hmmer,1.1969,195,407.302197343
dynamic8resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,mcf,1.7771,195,274.323335772
dynamic8resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,sjeng,1.6913,195,288.239815527
dynamic8resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,milc,1.4208,195,343.116554054
dynamic8resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,equake,1.6765,195,290.784372204
dynamic8resimult6cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,bzip2,1.1787,195,413.591244591
dynamic8resimult6cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,hmmer,1.2303,195,396.244818337
dynamic8resimult6cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,mcf,2.5296,195,192.718216319
dynamic8resimult6cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,sjeng,2.3655,195,206.087507926
dynamic8resimult6cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,milc,1.8397,195,264.988856879
dynamic8resimult6cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,equake,2.0235,195,240.919199407
dynamic8resimult4cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,bzip2,1.1470,195,425.02179599
dynamic8resimult4cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,hmmer,1.2268,195,397.375285295
dynamic8resimult4cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,mcf,2.3827,195,204.599823729
dynamic8resimult4cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,sjeng,2.1927,195,222.328635928
dynamic8resimult4cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,milc,1.8372,195,265.349444807
dynamic8resimult4cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,equake,1.9662,195,247.940189197
dynamic8resimult7cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult2resfpalu2,bzip2,1.1865,195,410.872313527
dynamic8resimult7cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult2resfpalu2,hmmer,1.2361,195,394.385567511
dynamic8resimult7cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult2resfpalu2,mcf,2.4865,195,196.058717072
dynamic8resimult7cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult2resfpalu2,sjeng,2.4704,195,197.336463731
dynamic8resimult7cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult2resfpalu2,milc,1.8385,195,265.161816698
dynamic8resimult7cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult2resfpalu2,equake,2.0387,195,239.12297052
dynamic4resimult4cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,bzip2,1.0960,160,364.96350365
dynamic4resimult4cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,hmmer,1.2163,160,328.866233659
dynamic4resimult4cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,mcf,1.9267,160,207.608864899
dynamic4resimult4cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,sjeng,1.9549,160,204.614046754
dynamic4resimult4cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,milc,1.5155,160,263.939293962
dynamic4resimult4cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,equake,1.6795,160,238.166120869
dynamic4resimult4cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,bzip2,1.1070,160,361.336946703
dynamic4resimult4cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,hmmer,1.2192,160,328.083989501
dynamic4resimult4cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,mcf,1.9359,160,206.622242884
dynamic4resimult4cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,sjeng,2.0458,160,195.522533972
dynamic4resimult4cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,milc,1.5165,160,263.765248928
dynamic4resimult4cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,equake,1.6996,160,235.349493999
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,bzip2,1.0960,160,364.96350365
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,hmmer,1.2154,160,329.109758104
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,mcf,1.9267,160,207.608864899
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,sjeng,1.9549,160,204.614046754
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,milc,1.3591,160,294.312412626
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,equake,1.6795,160,238.166120869
dynamic8resimult2cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,bzip2,1.1470,195,425.02179599
dynamic8resimult2cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,hmmer,1.2270,195,397.310513447
dynamic8resimult2cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,mcf,2.3827,195,204.599823729
dynamic8resimult2cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,sjeng,2.1927,195,222.328635928
dynamic8resimult2cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,milc,1.7583,195,277.25644088
dynamic8resimult2cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,equake,1.9662,195,247.940189197
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,bzip2,1.1070,160,361.336946703
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,hmmer,1.2182,160,328.35330816
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,mcf,1.9359,160,206.622242884
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,sjeng,2.0458,160,195.522533972
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,milc,1.4837,160,269.596279571
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,equake,1.6996,160,235.349493999
dynamic8resimult6cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,bzip2,1.0631,195,458.564575299
dynamic8resimult6cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,hmmer,1.1969,195,407.302197343
dynamic8resimult6cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,mcf,1.7771,195,274.323335772
dynamic8resimult6cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,sjeng,1.6913,195,288.239815527
dynamic8resimult6cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,milc,1.4728,195,331.002172732
