testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
static4bpredras8fetchifqsize4fetchspeed2cachedl2ul28192642lcacheil1il12048321lbpredcomb,equake,0.5031,145,720.532697277
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il12048321lbpredcomb,bzip2,0.3699,100,675.858340092
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il12048321lbpredcomb,hmmer,0.5990,100,417.362270451
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il12048321lbpredcomb,mcf,0.5553,100,450.207095264
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il12048321lbpredcomb,sjeng,0.5018,100,498.206456756
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il12048321lbpredcomb,milc,0.5090,100,491.15913556
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il12048321lbpredcomb,equake,0.4984,100,501.605136437
static2bpredras8fetchifqsize4fetchspeed2cachedl2ul24096644lcacheil1il1512321lbpredcomb,bzip2,0.3610,115,796.398891967
static2bpredras8fetchifqsize4fetchspeed2cachedl2ul24096644lcacheil1il1512321lbpredcomb,hmmer,0.7173,115,400.80858776
static2bpredras8fetchifqsize4fetchspeed2cachedl2ul24096644lcacheil1il1512321lbpredcomb,mcf,0.5218,115,550.977385972
static2bpredras8fetchifqsize4fetchspeed2cachedl2ul24096644lcacheil1il1512321lbpredcomb,sjeng,0.5790,115,496.545768566
static2bpredras8fetchifqsize4fetchspeed2cachedl2ul24096644lcacheil1il1512321lbpredcomb,milc,0.5285,115,543.99243141
static2bpredras8fetchifqsize4fetchspeed2cachedl2ul24096644lcacheil1il1512321lbpredcomb,equake,0.5235,115,549.188156638
static4bpredras8fetchifqsize4fetchspeed2cachedl2ul24096642lcacheil1il1512321lbpredcomb,bzip2,0.3725,145,973.154362416
static4bpredras8fetchifqsize4fetchspeed2cachedl2ul24096642lcacheil1il1512321lbpredcomb,hmmer,0.7186,145,504.453103256
static4bpredras8fetchifqsize4fetchspeed2cachedl2ul24096642lcacheil1il1512321lbpredcomb,mcf,0.5476,145,661.979547115
static4bpredras8fetchifqsize4fetchspeed2cachedl2ul24096642lcacheil1il1512321lbpredcomb,sjeng,0.5493,145,659.930821045
static4bpredras8fetchifqsize4fetchspeed2cachedl2ul24096642lcacheil1il1512321lbpredcomb,milc,0.5266,145,688.378275731
static4bpredras8fetchifqsize4fetchspeed2cachedl2ul24096642lcacheil1il1512321lbpredcomb,equake,0.5501,145,658.971096164
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul220481284lcacheil1il1256321lbpredcomb,bzip2,0.3241,100,771.36686208
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul220481284lcacheil1il1256321lbpredcomb,hmmer,0.7042,100,355.01278046
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul220481284lcacheil1il1256321lbpredcomb,mcf,0.5021,100,497.908783111
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul220481284lcacheil1il1256321lbpredcomb,sjeng,0.6247,100,400.192092204
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul220481284lcacheil1il1256321lbpredcomb,milc,0.5204,100,480.399692544
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul220481284lcacheil1il1256321lbpredcomb,equake,0.4553,100,549.088513068
static4bpredras8fetchifqsize4fetchspeed2cachedl2ul24096644lcacheil1il11024321lbpredcomb,bzip2,0.3464,145,1046.47806005
static4bpredras8fetchifqsize4fetchspeed2cachedl2ul24096644lcacheil1il11024321lbpredcomb,hmmer,0.6511,145,556.75011519
static4bpredras8fetchifqsize4fetchspeed2cachedl2ul24096644lcacheil1il11024321lbpredcomb,mcf,0.5630,145,643.872113677
static4bpredras8fetchifqsize4fetchspeed2cachedl2ul24096644lcacheil1il11024321lbpredcomb,sjeng,0.5420,145,668.819188192
static4bpredras8fetchifqsize4fetchspeed2cachedl2ul24096644lcacheil1il11024321lbpredcomb,milc,0.5227,145,693.514444232
static4bpredras8fetchifqsize4fetchspeed2cachedl2ul24096644lcacheil1il11024321lbpredcomb,equake,0.5334,145,679.602549681
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul24096642lcacheil1il11024322lbpredcomb,bzip2,0.3757,100,665.424540857
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul24096642lcacheil1il11024322lbpredcomb,hmmer,0.5477,100,456.454263283
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul24096642lcacheil1il11024322lbpredcomb,mcf,0.5266,100,474.743638435
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul24096642lcacheil1il11024322lbpredcomb,sjeng,0.4430,100,564.334085779
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul24096642lcacheil1il11024322lbpredcomb,milc,0.5094,100,490.773458971
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul24096642lcacheil1il11024322lbpredcomb,equake,0.4550,100,549.450549451
