Dynamic 2,Dynamic 4,Dynamic 8,Static 1,Static 2,Static 4
986.7527935,1262.983243,1539.407906,838.9703444,964.8158961,1216.44118
986.7056583,1262.922924,1539.260827,838.9703444,964.8158961,1216.375378
986.7056583,1262.922924,1539.187313,838.8795713,964.711507,1216.375378
986.6114215,1262.922924,1539.113818,838.8795713,964.711507,1216.333655
986.6114215,1262.86262,1539.040339,838.8342032,964.6593337,1216.333655
986.5172298,1262.80233,1538.893435,838.8342032,964.6593337,1216.309595
986.5172298,1262.742054,1538.893435,838.8053907,964.6593337,1216.309595
986.4701508,1262.742054,1538.845771,838.8053907,964.6593337,1216.267816
986.4395967,1262.703024,1538.845771,838.8053907,964.6261993,1216.267816
986.4395967,1262.621546,1538.845771,838.7888473,964.6261993,1216.267816
986.423083,1262.582358,1538.820009,838.7888473,964.6261993,1216.243829
986.3924674,1262.582358,1538.820009,838.7599971,964.6261993,1216.243829
986.3924674,1262.582358,1538.772249,838.7599971,964.6261993,1216.243829
986.3924674,1262.582358,1538.772249,838.7599971,964.6261993,1216.201996
986.3924674,1262.582358,1538.772249,838.7599971,964.6071744,1216.201996
986.3924674,1262.522047,1538.772249,838.7599971,964.5739966,1216.201996
986.3453494,1262.522047,1538.772249,838.7599971,964.5739966,1216.201996
986.3453494,1262.522047,1538.772249,838.7599971,964.5739966,1216.201996
986.3453494,1262.522047,1538.698745,838.7599971,964.5739966,1216.201996
986.3453494,1262.522047,1538.698745,838.7599971,964.5739966,1216.201996
986.3453494,1262.522047,1538.698745,838.7435037,964.5739966,1216.136193
986.3453494,1262.522047,1538.698745,838.7146158,964.5739966,1216.136193
986.3453494,1262.522047,1538.698745,838.7146158,964.5739966,1216.136193
986.3453494,1262.522047,1538.698745,838.7146158,964.5739966,1216.136193
986.3453494,1262.522047,1538.698745,838.7146158,964.5218081,1216.136193
986.3453494,1262.461751,1538.698745,838.7146158,964.5218081,1216.136193
986.2982426,1262.461751,1538.698745,838.7146158,964.5218081,1216.136193
986.2982426,1262.461751,1538.698745,838.7146158,964.5218081,1216.136193
986.2982426,1262.461751,1538.625258,838.7146158,964.5218081,1216.136193
986.2982426,1262.461751,1538.625258,838.7146158,964.5218081,1216.136193
986.2982426,1262.461751,1538.625258,838.7146158,964.5218081,1216.136193
986.2982426,1262.461751,1538.625258,838.7146158,964.5218081,1216.136193
986.2982426,1262.461751,1538.625258,838.7146158,964.5218081,1216.136193
986.2982426,1262.401468,1538.625258,838.7146158,964.5218081,1216.136193
986.2982426,1262.401468,1538.625258,838.7146158,964.5218081,1216.136193
986.2982426,1262.401468,1538.625258,838.7146158,964.5218081,1216.136193
986.2982426,1262.401468,1538.551789,838.7146158,964.5218081,1216.11235
986.2982426,1262.401468,1538.551789,838.6692467,964.5218081,1216.070408
986.2982426,1262.401468,1538.551789,838.6692467,964.5218081,1216.070408
986.2982426,1262.401468,1538.551789,838.6692467,964.5218081,1216.070408
986.2982426,1262.401468,1538.551789,838.6692467,964.4696338,1216.070408
986.2982426,1262.401468,1538.551789,838.6692467,964.4696338,1216.070408
986.2511471,1262.401468,1538.551789,838.6692467,964.4696338,1216.070408
986.2511471,1262.401468,1538.551789,838.6692467,964.4696338,1216.070408
986.2511471,1262.401468,1538.551789,838.6692467,964.4696338,1216.070408
986.2511471,1262.3412,1538.551789,838.6692467,964.4696338,1216.070408
986.2511471,1262.3412,1538.551789,838.6692467,964.4696338,1216.070408
986.2511471,1262.3412,1538.551789,838.6692467,964.4696338,1216.070408
986.2511471,1262.3412,1538.551789,838.6692467,964.4696338,1216.070408
986.2511471,1262.3412,1538.551789,838.6692467,964.4696338,1216.070408
986.2040628,1262.3412,1538.551789,838.6692467,964.4696338,1216.070408
986.2040628,1262.3412,1538.551789,838.6692467,964.4696338,1216.070408
