Dynamic 4 fpmult 2 fpalu 4,Dynamic 4 fpmult 4 fpalu 4,Dynamic 4 fpmult 2 fpalu 2,Dynamic 4 fpmult 3 fpalu 1
279.9445223,279.9445223,279.9445223,289.5568361
277.4277888,277.4277888,277.4277888,280.2819533
275.5992444,275.5992444,275.5992444,277.7621862
275.5992444,275.5992444,275.5992444,265.0234615
275.5992444,275.5992444,275.5992444,254.0110113
253.7537696,253.7537696,253.7537696,253.1059304
252.8496052,252.8496052,252.8496052,
251.8915401,251.8915401,251.8915401,
251.8915401,251.8915401,251.8915401,
251.8915401,251.8915401,251.8915401,
251.2657217,251.2657217,251.2657217,
251.2657217,251.2657217,251.2657217,
250.7217537,250.7217537,250.7217537,
250.7217537,250.7217537,250.7217537,
249.1525996,249.1525996,249.1525996,
,,289.2082391,
,,279.9445223,
,,277.4277888,
,,264.7550673,
,,253.7537696,
,,252.8496052,
