testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,milc,0.5351,115,537.282750888
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,equake,0.5312,115,541.227409639
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu1,bzip2,0.4922,115,584.112149533
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu1,hmmer,0.7061,115,407.166123779
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu1,mcf,0.5909,115,486.545946861
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu1,sjeng,0.5280,115,544.507575758
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu1,milc,0.5351,115,537.282750888
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu1,equake,0.5312,115,541.227409639
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu3,bzip2,0.4922,145,736.48923202
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu3,hmmer,0.7063,145,513.238000849
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu3,mcf,0.5912,145,613.159675237
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu3,sjeng,0.5280,145,686.553030303
