benchmarks,baseline,Dynamic_SS_Datapath#1,Dynamic_SS_Datapath#2,Hw4baseline,Static_SS_datapath
integer,0.839272743642,0.616342210228,0.677697793656,0.762943855637,0.693549617382
floating point,0.739953856353,0.616947826772,0.638154913775,0.746311085766,0.729538413107
