benchmarks,dynamic2,dynamic4,dynamic8,static1,static2,static4
integer,0.850554273701,0.664368677889,0.545044918034,1.0,0.869565217392,0.689580603003
floating point,0.8610190961,0.672671168828,0.551935318014,1.0,0.869565217393,0.689655172414
